,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Beautiful and charming apartment in the heart of the Old Town,8.4,"Sródmiescie, Warsaw",Very Good ,98 reviews,Original price 792 zł. Current price 475 zł.,2.3 km from center,Two-Bedroom Apartment,3,,Location 9.8
1,Motel One Warsaw-Chopin,9.1,"Sródmiescie, Warsaw",Wonderful ,"6,971 reviews",Price 290 zł,1.2 km from center,Standard King Room,3,,Location 9.5
2,Hotel Gromada Warszawa Centrum,8.1,"Sródmiescie, Warsaw",Very Good ,"9,000 reviews",Price 245 zł,0.7 km from center,Standard Single Room,3,,Location 9.5
3,a&o Warsaw Wola,8.6,"Wola, Warsaw",Excellent ,"9,214 reviews",Price 75 zł,2.5 km from center,Bed in 6-Bed Dormitory Room,0,,
4,"Holiday Inn - Warsaw City Centre, an IHG Hotel",9.1,"Wola, Warsaw",Wonderful ,"6,358 reviews",Price 324 zł,1 km from center,Double Room ,3,,Location 9.3
5,Vienna House by Wyndham Mokotow Warsaw,9.1,"Mokotów, Warsaw",Wonderful ,"4,537 reviews",Price 306 zł,6.3 km from center,Standard Double or Twin Room,4,,
6,B&B Hotel Warszawa-Okęcie,8.2,"Wlochy, Warsaw",Very Good ,"4,706 reviews",Price 220 zł,6.1 km from center,Double Room,2,,
7,"InterContinental Warszawa, an IHG Hotel",9.1,"Sródmiescie, Warsaw",Wonderful ,"8,656 reviews",Price 562 zł,0.5 km from center,Classic Room,5,,Location 9.7
8,Hotel Metropol,8.8,"Sródmiescie, Warsaw",Excellent ,"11,898 reviews",Price 303 zł,150 m from center,Standard Single Room,3,Breakfast included,Location 9.6
9,Centrum Lwowska,7.0,"Sródmiescie, Warsaw",Good ,"1,675 reviews",Price 180 zł,0.8 km from center,Budget Single Room,0,,
10,Hotel Hetman,8.7,"Praga Pólnoc, Warsaw",Excellent ,"2,329 reviews",Price 232 zł,3.1 km from center,Single Room,3,,
11,Hotel Reytan,8.9,"Mokotów, Warsaw",Excellent ,"3,774 reviews",Price 250 zł,2.5 km from center,Single Room,3,,
12,Logos,8.3,"Sródmiescie, Warsaw",Very Good ,"5,281 reviews",Price 237 zł,1.9 km from center,Single Room,1,,
13,Moon Hostel,7.9,"Sródmiescie, Warsaw",Good ,"2,210 reviews",Original price 285 zł. Current price 185 zł.,0.9 km from center,Single Room with Shared Bathroom,0,,Location 9.5
14,Hotel MDM City Centre,8.9,"Sródmiescie, Warsaw",Excellent ,"1,964 reviews",Price 298 zł,1 km from center,Standard Single Room,3,Breakfast included,Location 9.5
15,Courtyard by Marriott Warsaw Airport,9.1,"Wlochy, Warsaw",Wonderful ,"10,418 reviews",Price 339 zł,7 km from center,"Deluxe Room, Guest room, 1 King",4,,Location 9.7
16,Air Hotel,8.9,"Wlochy, Warsaw",Excellent ,"4,072 reviews",Price 262 zł,8.4 km from center,Superior Double Room,3,,
17,Leonardo Royal Hotel Warsaw,8.6,"Wola, Warsaw",Excellent ,"5,924 reviews",Price 258 zł,1.4 km from center,Comfort Double or Twin Room,4,,
18,Novotel Warszawa Centrum,8.7,"Sródmiescie, Warsaw",Excellent ,"17,429 reviews",Price 348 zł,250 m from center,Standard Twin Room,4,,Location 9.6
19,Warsaw Hostel Centrum,7.9,"Sródmiescie, Warsaw",Good ,"1,850 reviews",Price 84 zł,0.7 km from center,Bed in 8-Bed Dormitory Room,0,,Location 9.4
20,Regent Warsaw Hotel,8.3,"Sródmiescie, Warsaw",Very Good ,"2,439 reviews",Price 381 zł,2.8 km from center,Classic Double  Room,5,,
21,Hampton by Hilton Warsaw City Centre,8.7,"Sródmiescie, Warsaw",Excellent ,"14,659 reviews",Price 350 zł,0.6 km from center,Queen Room,3,Breakfast included,Location 9.5
22,Golden Tulip Warsaw Centre,9.0,"Wola, Warsaw",Wonderful ,656 reviews,Price 346 zł,1.4 km from center,Double Superior,4,,
23,"Hotel Bristol, A Luxury Collection Hotel, Warsaw",9.1,"Sródmiescie, Warsaw",Wonderful ,"1,052 reviews",Price 789 zł,1.5 km from center,"Classic, Guest room, 1 Queen",5,,Location 9.8
24,Hampton by Hilton Warsaw Airport,8.6,"Wlochy, Warsaw",Excellent ,"4,977 reviews",Price 310 zł,6 km from center,Queen Room - Mobility Access,3,Breakfast included,
25,Premiere Classe Varsovie/Warszawa,7.1,"Wola, Warsaw",Good ,"9,049 reviews",Original price 272 zł. Current price 245 zł.,1.4 km from center,Double Room,1,Breakfast included,
26,Pokoje Centrum/ rooms in Centre,7.1,"Wola, Warsaw",Good ,370 reviews,Original price 120 zł. Current price 108 zł.,1.5 km from center,Budget Single Room,0,,
27,LoftHotel Sen Pszczoły,8.0,"Sródmiescie, Warsaw",Very Good ,"1,463 reviews",Original price 269 zł. Current price 206 zł.,0.7 km from center,Double or Twin Room with Private External Bathroom,3,,
28,Best Western Hotel Felix,8.3,"Praga Poludnie, Warsaw",Very Good ,"2,467 reviews",Price 270 zł,6.1 km from center,Lux Twin Room,3,,
29,"Hotel Bristol, A Luxury Collection Hotel, Warsaw",9.1,"Sródmiescie, Warsaw",Wonderful ,"1,052 reviews",Price 789 zł,1.5 km from center,"Classic, Guest room, 1 Queen",5,,Location 9.8
30,Centrum Barnabitów,8.5,"Mokotów, Warsaw",Very Good ,943 reviews,Price 275 zł,5.8 km from center,Single Room,3,,
31,Hampton By Hilton Warsaw Mokotow,9.0,"Mokotów, Warsaw",Wonderful ,"5,568 reviews",Price 295 zł,6 km from center,Twin Room - Non-Smoking,3,Breakfast included,
32,Hampton by Hilton Warsaw Airport,8.6,"Wlochy, Warsaw",Excellent ,"4,977 reviews",Price 310 zł,6 km from center,Queen Room,3,Breakfast included,
33,"Hotel Indigo Warsaw Nowy Świat, an IHG Hotel",9.1,"Sródmiescie, Warsaw",Wonderful ,"1,762 reviews",Price 413 zł,0.9 km from center,Standard Queen Room - Non-Smoking,4,,Location 9.7
34,Lull Hostel,8.1,"Praga Poludnie, Warsaw",Very Good ,"1,052 reviews",Price 81 zł,2.7 km from center,Bed in 4-Bed Mixed Dormitory Room,0,,
35,Hostel Lwowska 11,8.4,"Sródmiescie, Warsaw",Very Good ,"1,019 reviews",Original price 101 zł. Current price 91 zł.,0.9 km from center,Bed in 7-Bed Mixed Dormitory Room ,0,,
36,Campanile Varsovie / Warszawa,7.8,"Wola, Warsaw",Good ,"6,365 reviews",Original price 269 zł. Current price 242 zł.,1.4 km from center,Double Room,3,,
37,Apartament Praga,9.0,"Praga Pólnoc, Warsaw",Wonderful ,71 reviews,Original price 216 zł. Current price 194 zł.,3.8 km from center,One-Bedroom Apartment,3,,
38,Palm Aparts Warsaw City View,8.0,"Sródmiescie, Warsaw",Very Good ,400 reviews,Original price 439 zł. Current price 219 zł.,1.1 km from center,Deluxe Double Studio,3,,Location 9.5
39,Regent Warsaw Hotel,8.3,"Sródmiescie, Warsaw",Very Good ,"2,439 reviews",Original price 400 zł. Current price 360 zł.,2.8 km from center,Classic Double  Room,5,,
40,Villa Plaza,8.6,"Wola, Warsaw",Excellent ,"2,499 reviews",Price 160 zł,4.9 km from center,Standard Single Room,0,,
41,Hotel Polonia Palace,9.2,"Sródmiescie, Warsaw",Wonderful ,"3,595 reviews",Original price 488 zł. Current price 382 zł.,100 m from center,Standard Double,4,,Location 9.7
42,SCSK Żurawia,8.0,"Sródmiescie, Warsaw",Very Good ,"1,760 reviews",Price 270 zł,300 m from center,Single Room,3,,Location 9.5
43,Airport Hotel Okęcie,9.1,"Wlochy, Warsaw",Wonderful ,"7,450 reviews",Price 314 zł,6 km from center,Comfort Double or Twin Room,4,,
44,Sound Garden Hotel Airport,8.5,"Wlochy, Warsaw",Very Good ,"3,524 reviews",Original price 270 zł. Current price 243 zł.,4.8 km from center,Classic Double Room,3,,
45,Hotel Chmielna Warsaw,7.8,"Sródmiescie, Warsaw",Good ,"2,787 reviews",Original price 219 zł. Current price 197 zł.,0.7 km from center,Budget Single Room,2,,
46,ibis Styles Warszawa Centrum,9.0,"Sródmiescie, Warsaw",Wonderful ,"4,901 reviews",Price 315 zł,2.3 km from center,Standard Single Room,3,Breakfast included,
47,Warsaw Marriott Hotel,8.6,"Sródmiescie, Warsaw",Excellent ,"3,346 reviews",Price 530 zł,300 m from center,"Deluxe Guest Room, 2 Double",5,,Location 9.6
48,Apple Inn,9.1,"Sródmiescie, Warsaw",Wonderful ,"1,022 reviews",Original price 290 zł. Current price 261 zł.,500 m from center,Small Single Room,0,,Location 9.7
49,Moxy Warsaw Praga,9.2,"Praga Pólnoc, Warsaw",Wonderful ,"3,275 reviews",Price 302 zł,3.7 km from center,Guest Twin Room,3,,
50,"Holiday Inn Express - Warsaw - The HUB, an IHG Hotel",9.3,"Wola, Warsaw",Wonderful ,"6,933 reviews",Price 356 zł,1.7 km from center,Standard Queen Room,3,Breakfast included,Location 9.5
51,Hampton By Hilton Warsaw Reduta,8.9,"Ochota, Warsaw",Excellent ,"4,847 reviews",Price 271 zł,4.6 km from center,Super King Room,3,Breakfast included,
52,Hotel Chmielna Warsaw,7.8,"Sródmiescie, Warsaw",Good ,"2,787 reviews",Price 219 zł,0.7 km from center,Budget Single Room,2,,
53,o3Hotel,8.7,"Mokotów, Warsaw",Excellent ,"3,714 reviews",Price 270 zł,5.4 km from center,Double Room with Private Bathroom,3,,
54,"Holiday Inn Express Warsaw - Mokotow, an IHG Hotel",9.0,"Mokotów, Warsaw",Wonderful ,"5,472 reviews",Price 298 zł,5.5 km from center,Standard Queen Room,3,Breakfast included,
55,Renaissance Warsaw Airport Hotel,9.0,"Wlochy, Warsaw",Wonderful ,"4,653 reviews",Price 359 zł,6.8 km from center,Room with Two Double Beds,5,,Location 9.6
56,Pokoje Gościnne O-ES-HA,8.7,"Bielany, Warsaw",Excellent ,710 reviews,Price 110 zł,6.9 km from center,Single Room with Shared Bathroom,0,,
57,Hilton Warsaw City Hotel,8.4,"Wola, Warsaw",Very Good ,"2,535 reviews",Price 476 zł,1.6 km from center,Twin Room,4,,
58,Strefa relaksu,6.5,"Mokotów, Warsaw",Review score ,439 reviews,Price 60 zł,4.2 km from center,Single Bed in Female Dormitory Room,0,,
59,Ibis Warszawa Stare Miasto,8.3,"Sródmiescie, Warsaw",Very Good ,"6,785 reviews",Price 312 zł,2.8 km from center,Standard Room with 1 Double Bed,3,,
60,"Crowne Plaza - Warsaw - The HUB, an IHG Hotel",9.4,"Wola, Warsaw",Wonderful ,"2,239 reviews",Price 426 zł,1.7 km from center,Standard Queen Room,4,,Location 9.4
61,Hotel Gordon,8.1,"Wlochy, Warsaw",Very Good ,"3,248 reviews",Price 240 zł,6.7 km from center,Economy Double Room,2,,
62,Sofitel Warsaw Victoria,8.9,"Sródmiescie, Warsaw",Excellent ,"3,211 reviews",Price 495 zł,1.2 km from center,Classic King Room,5,,Location 9.6
63,PURO Warszawa Centrum,9.3,"Sródmiescie, Warsaw",Wonderful ,"3,956 reviews",Price 539 zł,450 m from center,Double Room,4,,Location 9.6
64,ibis budget Warszawa Reduta,7.9,"Ochota, Warsaw",Good ,"6,900 reviews",Price 179 zł,3.2 km from center,Standard Double Room,1,,
65,Arche Hotel Puławska Residence,8.6,"Ursynow, Warsaw",Excellent ,"2,640 reviews",Price 245 zł,8.8 km from center,Standard Double Room,3,,
