,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Premiere Classe Wroclaw Centrum,7.4,"Krzyki, Wrocław",Good ,"6,585 reviews",Price 184 zł,1.8 km from center,Double Room,1,,
1,B&B Hotel Wrocław Centrum,8.2,"Stare Miasto, Wrocław",Very Good ,"6,898 reviews",Price 239 zł,0.7 km from center,Double Room,2,,Location 9.5
2,Hotel Śląsk,8.0,"Fabryczna, Wrocław",Very Good ,"2,927 reviews",Price 244 zł,2.7 km from center,Twin Room,3,,
3,Hostel Wratislavia,8.3,"Krzyki, Wrocław",Very Good ,"2,609 reviews",Price 52 zł,1.3 km from center,Bed in 6-Bed Mixed Dormitory Room with Bathroom,0,,
4,FOKA Hostel,8.9,"Stare Miasto, Wrocław",Excellent ,355 reviews,Price 100 zł,1.2 km from center,Bed in 4-Bed Female Dormitory Room,0,,
5,HP Park Plaza,8.6,"Śródmieście, Wrocław",Excellent ,"4,816 reviews",Price 327 zł,0.8 km from center,Single Room,4,,Location 9.4
6,Wyndham Wroclaw Old Town,8.5,"Stare Miasto, Wrocław",Very Good ,"3,417 reviews",Price 405 zł,200 m from center,Superior Single Room with Spa Access,5,,Location 9.7
7,DB Hotel Wrocław,9.2,"Stare Miasto, Wrocław",Wonderful ,"4,937 reviews",Price 327 zł,1.9 km from center,Large Single Room,4,,
8,Ibis Styles Wroclaw Centrum,8.8,"Krzyki, Wrocław",Excellent ,"3,349 reviews",Price 370 zł,1.4 km from center,Standard Double Room,3,Breakfast included,Location 9.3
9,Herbal Hotel Wrocław,9.1,"Stare Miasto, Wrocław",Wonderful ,"1,284 reviews",Price 299 zł,0.5 km from center,Standard Queen Room,3,,Location 9.7
10,Campanile Wroclaw Centrum,7.6,"Krzyki, Wrocław",Good ,"3,518 reviews",Price 232 zł,1.8 km from center,Superior Twin Room,3,,
11,Quantum Hostel,8.2,"Stare Miasto, Wrocław",Very Good ,"1,428 reviews",Price 83 zł,200 m from center,Bed in Male Dormitory Room,0,,Location 9.7
12,Radisson Blu Hotel Wroclaw,8.6,"Stare Miasto, Wrocław",Excellent ,"3,472 reviews",Price 405 zł,0.9 km from center,Standard Room,5,,Location 9.4
13,Jasek Premium Hotel Wrocław,8.4,"Psie Pole, Wrocław",Very Good ,"2,693 reviews",Price 257 zł,7.2 km from center,Single Room,3,Breakfast included,
14,Scandic Wrocław,8.6,"Stare Miasto, Wrocław",Excellent ,"6,071 reviews",Price 306 zł,1 km from center,Standard Queen Room,4,,Location 9.3
15,The Bridge Wroclaw - MGallery,9.1,"Śródmieście, Wrocław",Wonderful ,"2,198 reviews",Price 540 zł,1.2 km from center,Classic Family Room,5,,Location 9.5
16,Kamienica Pod Aniołami,8.9,"Stare Miasto, Wrocław",Excellent ,"2,794 reviews",Price 190 zł,300 m from center,Single Room,3,,Location 9.7
17,PURO Wrocław Stare Miasto,9.1,"Stare Miasto, Wrocław",Wonderful ,"4,167 reviews",Price 485 zł,0.5 km from center,Classic Double Room,4,,Location 9.7
18,DoubleTree by Hilton Wroclaw,8.7,"Stare Miasto, Wrocław",Excellent ,"2,124 reviews",Price 599 zł,0.9 km from center,Twin Guest Room,5,,Location 9.4
19,"Hostel, Pokoje gościnne Mleczarnia - Ozonowane",8.6,"Stare Miasto, Wrocław",Excellent ,"1,011 reviews",Price 80 zł,500 m from center,Bed in 8-Bed Female Dormitory Room,0,,Location 9.5
20,Basecamp Wroclaw,8.7,"Śródmieście, Wrocław",Excellent ,593 reviews,Price 245 zł,1.3 km from center,Single Room,3,,
21,Boutique Hotel's,7.9,"Fabryczna, Wrocław",Good ,"3,244 reviews",Price 202 zł,3.7 km from center,Single Room,3,,
22,Hotel Patio Old Town,8.4,"Stare Miasto, Wrocław",Very Good ,"2,480 reviews",Price 278 zł,200 m from center,Standard Double Room,3,,Location 9.7
23,30th+ Floor Apartments in Sky Tower,8.9,"Krzyki, Wrocław",Excellent ,"2,959 reviews",Price 649 zł,1.9 km from center,Suite with City View,4,,Location 9.3
24,Art Hotel,8.7,"Stare Miasto, Wrocław",Excellent ,"1,497 reviews",Price 346 zł,200 m from center,Standard Single Room,4,,Location 9.7
25,Hotel Grand City Wrocław,8.6,"Stare Miasto, Wrocław",Excellent ,"2,101 reviews",Original price 399 zł. Current price 373 zł.,200 m from center,Standard Queen Room,4,,Location 9.6
26,Boutique Hotel's,7.9,"Fabryczna, Wrocław",Good ,"3,244 reviews",Original price 202 zł. Current price 189 zł.,3.7 km from center,Single Room,3,,
27,Hotel Europejski Wrocław Centrum,7.9,"Stare Miasto, Wrocław",Good ,"2,006 reviews",Original price 243 zł. Current price 227 zł.,1.1 km from center,Single Room,3,,
28,AC Hotel by Marriott Wroclaw,8.9,"Stare Miasto, Wrocław",Excellent ,978 reviews,Price 489 zł,400 m from center,Standard Double Room,4,,Location 9.6
29,Hotel Gem,8.5,"Śródmieście, Wrocław",Very Good ,"1,797 reviews",Price 200 zł,3.2 km from center,Single Room,3,,
30,Hotel Wieniawa,6.9,"Krzyki, Wrocław",Review score ,"4,559 reviews",Original price 134 zł. Current price 125 zł.,2.8 km from center,Economy Twin Room,2,,
