,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Zagreb Speeka,8.1,"Lower Town, Zagreb",Very Good ,690 reviews,Price 106 zł,450 m from center,Bed in 4-Bed Dormitory Room,0,,
1,Timeout Heritage Hotel Zagreb,7.7,"Lower Town, Zagreb",Good ,"2,688 reviews",Price 228 zł,300 m from center,Family Room with City View ,4,,Location 9.5
2,The Westin Zagreb,8.2,"Lower Town, Zagreb",Very Good ,"2,568 reviews",Price 500 zł,1.1 km from center,"Deluxe Queen Non Smoking, Guest room, 1 Queen, City view",5,,
3,HI Hostel Zagreb,6.8,"Lower Town, Zagreb",Review score ,"2,059 reviews",Price 78 zł,0.8 km from center,Single Bed in 6-Bed Dormitory Room,0,,
4,Dormir Apartments,9.3,Zagreb,Wonderful ,222 reviews,Price 211 zł,1.9 km from center,Apartment with Balcony,3,,
5,Funk Lounge Hostel,8.1,"Maksimir, Zagreb",Very Good ,"1,245 reviews",Price 83 zł,2.3 km from center,Single Bed in 4-Bed Dormitory Room,0,,
6,Chillout Hostel Zagreb,8.5,"Lower Town, Zagreb",Very Good ,"1,089 reviews",Price 63 zł,350 m from center,Single Bed in 6-Bed Dormitory Room,0,,Location 9.7
7,MANDA Heritage Hotel,9.2,"Lower Town, Zagreb",Wonderful ,"1,285 reviews",Price 336 zł,0.5 km from center,Standard King Room,0,,Location 9.6
8,Neno,7.8,"Maksimir, Zagreb",Good ,446 reviews,Price 94 zł,2.1 km from center,Double Room,0,,
9,Sheraton Zagreb Hotel,8.7,"Lower Town, Zagreb",Excellent ,"3,041 reviews",Price 524 zł,0.8 km from center,"Deluxe Queen Non Smoking, Guest room, 1 Queen",5,,
10,Piccolo Apartments,8.7,"Lower Town, Zagreb",Excellent ,653 reviews,Price 263 zł,0.8 km from center,Deluxe Studio,3,,Location 9.4
11,Hotel Dubrovnik,8.8,"Lower Town, Zagreb",Excellent ,"3,667 reviews",Price 500 zł,100 m from center,Standard Single Room,4,Breakfast included,Location 9.8
12,Main Square Hostel,8.4,"Upper Town – Medvescak, Zagreb",Very Good ,"1,749 reviews",Price 90 zł,100 m from center,Bed in 8-Bed Mixed Dormitory Room,0,Breakfast included,Location 9.7
13,Hotel Meridijan16,8.2,Zagreb,Very Good ,"1,723 reviews",Original price 336 zł. Current price 270 zł.,2 km from center,Single Room,3,Breakfast included,
14,Hotel International,8.8,Zagreb,Excellent ,"3,079 reviews",Price 439 zł,1.6 km from center,Classic Double or Twin Room,4,,
15,Art Hotel Like,7.9,"Lower Town, Zagreb",Good ,"2,633 reviews",Price 283 zł,0.5 km from center,Superior Single Room,3,,Location 9.3
16,Swanky Mint Hostel,8.7,"Lower Town, Zagreb",Excellent ,"1,389 reviews",Price 118 zł,0.7 km from center,Bunk Bed in 11-Bed Dormitory Room,0,,Location 9.6
17,Admiral Hotel,9.2,"Jarun, Zagreb",Wonderful ,"2,377 reviews",Price 668 zł,5 km from center,Single Room,4,Breakfast included,
18,Hotel Central,8.1,"Lower Town, Zagreb",Very Good ,"3,114 reviews",Price 345 zł,0.9 km from center,Comfort Single Room,3,Breakfast included,
19,Casablanca Boutique Bed&Breakfast,9.2,"Lower Town, Zagreb",Wonderful ,"1,078 reviews",Price 313 zł,1.2 km from center,Single Room,3,Breakfast included,
20,Hotel Croatia,8.9,"Upper Town – Medvescak, Zagreb",Excellent ,465 reviews,Price 304 zł,1.8 km from center,Twin Room,3,,
21,Hotel PARK 45,9.1,"Lower Town, Zagreb",Wonderful ,"2,184 reviews",Price 524 zł,0.7 km from center,Standard Single Room,4,Breakfast included,Location 9.8
22,Canopy by Hilton Zagreb City Centre,9.0,"Lower Town, Zagreb",Wonderful ,"1,827 reviews",Price 430 zł,1 km from center,Standard King Room,4,,
23,Rooms Zagreb 17,9.3,"Upper Town – Medvescak, Zagreb",Wonderful ,544 reviews,Price 253 zł,250 m from center,Comfort Double Room,4,,Location 9.9
24,Guest House Ilicki Plac,9.7,"Zagreb City Centre, Zagreb",Exceptional ,98 reviews,Price 188 zł,1 km from center,Studio with Balcony,3,,Location 9.9
25,Hotel 9,9.0,Zagreb,Wonderful ,"1,631 reviews",Price 477 zł,1.8 km from center,Standard Double Room,4,,
26,Studio Villa Antunovac,8.7,Zagreb,Excellent ,501 reviews,Price 211 zł,2.3 km from center,Queen Studio,3,,
27,Canopy by Hilton Zagreb City Centre,9.0,"Lower Town, Zagreb",Wonderful ,"1,827 reviews",Price 430 zł,1 km from center,Standard King Room,4,,
28,Rooms Lara,9.0,Zagreb,Wonderful ,132 reviews,Price 158 zł,2.9 km from center,Double Room,3,,
29,Rooms Zagreb 17,9.3,"Upper Town – Medvescak, Zagreb",Wonderful ,544 reviews,Price 253 zł,250 m from center,Comfort Double Room,4,,Location 9.9
30,DoubleTree by Hilton Zagreb,8.8,Zagreb,Excellent ,"3,326 reviews",Price 467 zł,2.3 km from center,King Guest Room,5,,
31,Neno,7.8,"Maksimir, Zagreb",Good ,446 reviews,Price 94 zł,2.1 km from center,Double Room,0,,
32,Hostel Bureau,8.3,"Lower Town, Zagreb",Very Good ,"2,146 reviews",Original price 94 zł. Current price 81 zł.,450 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.5
33,B&B Cool Centre Zagreb,8.8,"Lower Town, Zagreb",Excellent ,949 reviews,Price 244 zł,300 m from center,Standard Double Room,4,,Location 9.7
34,Apartments Lucky Place 2,9.0,"Lower Town, Zagreb",Wonderful ,906 reviews,Original price 235 zł. Current price 188 zł.,1 km from center,Studio,2,,Location 9.4
