,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,Motel One Zürich,8.6,"1. Zurich Old Town - City Center, Zurich",Excellent ,"5,931 reviews",Price 959 zł,0.9 km from center,Queen Room,3,,
1,Hotel Arlette Beim Hauptbahnhof,8.5,"1. Zurich Old Town - City Center, Zurich",Very Good ,331 reviews,Price 535 zł,1.3 km from center,Single Room,2,Breakfast included,Location 9.7
2,Zurich Youth Hostel,8.1,"Wollishofen, Zurich",Very Good ,"1,646 reviews",Price 264 zł,2.5 km from center,Bed in 6-Bed Dormitory Room,0,Breakfast included,
3,Hotel Scheuble,8.6,"1. Zurich Old Town - City Center, Zurich",Excellent ,"2,884 reviews",Price 908 zł,0.8 km from center,Cozy Single Room (Small),3,,Location 9.5
4,Trip Inn Zurich Hotel,7.5,"Aussersihl, Zurich",Good ,"2,568 reviews",Price 661 zł,1.7 km from center,Standard Single Room,3,,
5,Sorell Hotel Rex,8.1,"Unterstrass, Zurich",Very Good ,"1,379 reviews",Price 630 zł,2 km from center,Standard Single Room,3,Breakfast included,
6,Hotel Limmathof,7.5,"1. Zurich Old Town - City Center, Zurich",Good ,"3,129 reviews",Price 471 zł,1 km from center,Double Room (1 Adult),2,,Location 9.5
7,Green Marmot Capsule Hotel Zürich,7.6,"1. Zurich Old Town - City Center, Zurich",Good ,"2,737 reviews",Price 286 zł,200 m from center,Single Capsule for Female with balcony ,0,,Location 9.4
8,Friendly Hostel Zürich,7.6,"1. Zurich Old Town - City Center, Zurich",Good ,"1,466 reviews",Price 231 zł,0.5 km from center,Bed in 8-Bed Dormitory Room,0,,Location 9.4
9,Hotel City Zürich Design & Lifestyle,8.4,"1. Zurich Old Town - City Center, Zurich",Very Good ,"1,732 reviews","Price 1,016 zł",1 km from center,Economy Single Room,3,,Location 9.5
10,Hotel Bristol Zurich,8.1,"1. Zurich Old Town - City Center, Zurich",Very Good ,"4,892 reviews",Price 678 zł,1.4 km from center,Single Room,3,,Location 9.3
11,Park Hyatt Zurich – City Center Luxury,8.9,"Enge, Zurich",Excellent ,431 reviews,"Price 3,247 zł",0.6 km from center,Park King Room,5,,Location 9.3
